,Empresas
0,AES TIETE ENERGIA SA
1,ALEF S.A.
2,ALGAR TELECOM S/A
3,ALIANSCE SONAE SHOPPING CENTERS S.A.
4,AMPLA ENERGIA E SERVICOS S.A.
5,B3 S.A. - BRASIL. BOLSA. BALCÃƒO
6,BAHEMA EDUCAÃ‡ÃƒO S.A.
7,BARDELLA S.A. INDUSTRIAS MECANICAS
8,BB SEGURIDADE PARTICIPAÃ‡Ã•ES S.A.
9,BETAPART PARTICIPACOES S.A.
10,BICICLETAS MONARK S.A.
11,CACONDE PARTICIPACOES S.A.
12,CAMBUCI S.A.
13,CCR S.A.
14,CEMEPE INVESTIMENTOS S.A.
15,CENTRAIS ELET BRAS S.A. - ELETROBRAS
16,CENTRAIS ELET DE SANTA CATARINA S.A.
17,CESP - CIA ENERGETICA DE SAO PAULO
18,CIA ENERGETICA DO CEARA - COELCE
19,CIA GAS DE SAO PAULO - COMGAS
20,CIA HERING
21,CIA INDUSTRIAL CATAGUASES
22,CIA MELHORAMENTOS DE SAO PAULO
23,AMBEV S.A.
24,BAUMER S.A.
25,BRADESPAR S.A.
26,BRAZILIAN FINANCE E REAL ESTATE S.A.
27,CIA HABITASUL DE PARTICIPACOES
28,CIA PIRATININGA DE FORCA E LUZ
29,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG
30,CIA SIDERURGICA NACIONAL
31,CIA TECIDOS NORTE DE MINAS COTEMINAS
32,CIA TECIDOS SANTANENSE
33,CINESYSTEM S.A.
34,CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.
35,CONC ECOVIAS IMIGRANTES S.A.
36,CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS
37,CONC ROD.OESTE SP VIAOESTE S.A
38,CONSERVAS ODERICH S.A.
39,CONSTRUTORA TENDA S.A.
40,CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA
41,COSAN LOGISTICA S.A.
42,COSAN S.A.
43,CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.
44,CSU CARDSYSTEM S.A.
45,CTEEP - CIA TRANSMISSÃƒO ENERGIA ELÃ‰TRICA PAULISTA
46,CVC BRASIL OPERADORA E AGÃŠNCIA DE VIAGENS S.A.
47,DIAGNOSTICOS DA AMERICA S.A.
48,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS
49,DOHLER S.A.
50,DTCOM - DIRECT TO COMPANY S.A.
51,DURATEX S.A.
52,ECO SECURITIZADORA DIREITOS CRED AGRONEGÃ“CIO S.A.
53,ECORODOVIAS CONCESSÃ•ES E SERVIÃ‡OS S.A.
54,EDP ESPIRITO SANTO DISTRIBUIÃ‡ÃƒO DE ENERGIA S.A.
55,ELEKTRO REDES S.A.
56,ELETROBRÃS PARTICIPAÃ‡Ã•ES S.A. - ELETROPAR
57,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.
58,EMBRAER S.A.
59,EMPRESA CONC RODOV DO NORTE S.A.ECONORTE
60,EMPRESA NAC COM REDITO PART S.A.ENCORPAR
61,ENERGISA MATO GROSSO DO SUL - DIST DE ENERGIA S.A.
62,EUCATEX S.A. INDUSTRIA E COMERCIO
