,Empresas
0,AES TIETE ENERGIA SA
1,ALGAR TELECOM S/A
2,ALIANSCE SONAE SHOPPING CENTERS S.A.
3,AMPLA ENERGIA E SERVICOS S.A.
4,B3 S.A. - BRASIL. BOLSA. BALCÃƒO
5,BARDELLA S.A. INDUSTRIAS MECANICAS
6,BCO ABC BRASIL S.A.
7,BCO BRASIL S.A.
8,BCO ESTADO DO RIO GRANDE DO SUL S.A.
9,BCO MERCANTIL DE INVESTIMENTOS S.A.
10,BICICLETAS MONARK S.A.
11,BRADESCO LEASING S.A. ARREND MERCANTIL
12,CAMBUCI S.A.
13,CCR S.A.
14,CENTRAIS ELET BRAS S.A. - ELETROBRAS
15,CENTRAIS ELET DE SANTA CATARINA S.A.
16,CESP - CIA ENERGETICA DE SAO PAULO
17,CIA ENERGETICA DO CEARA - COELCE
18,CIA GAS DE SAO PAULO - COMGAS
19,CIA HERING
20,CIA INDUSTRIAL CATAGUASES
21,CIA MELHORAMENTOS DE SAO PAULO
22,AMBEV S.A.
23,BAUMER S.A.
24,BCO PINE S.A.
25,CIA HABITASUL DE PARTICIPACOES
26,CIA PIRATININGA DE FORCA E LUZ
27,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG
28,CIA SIDERURGICA NACIONAL
29,CIA TECIDOS NORTE DE MINAS COTEMINAS
30,CIA TECIDOS SANTANENSE
31,CINESYSTEM S.A.
32,CONC DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.
33,CONC ECOVIAS IMIGRANTES S.A.
34,CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS
35,CONC ROD.OESTE SP VIAOESTE S.A
36,CONSERVAS ODERICH S.A.
37,CONSTRUTORA TENDA S.A.
38,CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA
39,COSAN LOGISTICA S.A.
40,COSAN S.A.
41,CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.
42,CSU CARDSYSTEM S.A.
43,CTEEP - CIA TRANSMISSÃƒO ENERGIA ELÃ‰TRICA PAULISTA
44,CVC BRASIL OPERADORA E AGÃŠNCIA DE VIAGENS S.A.
45,DIAGNOSTICOS DA AMERICA S.A.
46,DIBENS LEASING S.A. - ARREND.MERCANTIL
47,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS
48,DOHLER S.A.
49,DTCOM - DIRECT TO COMPANY S.A.
50,DURATEX S.A.
51,ECO SECURITIZADORA DIREITOS CRED AGRONEGÃ“CIO S.A.
52,ECORODOVIAS CONCESSÃ•ES E SERVIÃ‡OS S.A.
53,EDP ESPIRITO SANTO DISTRIBUIÃ‡ÃƒO DE ENERGIA S.A.
54,ELEKTRO REDES S.A.
